Address,Size,Name,Category,Tier
0x0000007100002040,1280,FUN_7100002040,complex_large,VERY_HARD
0x0000007100003840,2320,FUN_7100003840,complex_large,VERY_HARD
0x0000007100006210,800,FUN_7100006210,complex_large,VERY_HARD
0x00000071000086c0,544,FUN_71000086c0,complex_large,VERY_HARD
0x0000007100008fc0,1072,FUN_7100008fc0,complex_large,VERY_HARD
0x0000007100009580,1312,FUN_7100009580,complex_large,VERY_HARD
0x0000007100009aa0,608,FUN_7100009aa0,complex_large,VERY_HARD
0x0000007100009d00,5696,FUN_7100009d00,complex_large,VERY_HARD
0x000000710000edf0,672,FUN_710000edf0,complex_large,VERY_HARD
0x000000710000f280,688,FUN_710000f280,complex_large,VERY_HARD
0x000000710000f7f0,832,FUN_710000f7f0,complex_large,VERY_HARD
0x000000710000fb30,8304,FUN_710000fb30,complex_large,VERY_HARD
0x0000007100012440,784,FUN_7100012440,complex_large,VERY_HARD
0x0000007100015480,512,FUN_7100015480,complex_large,VERY_HARD
0x0000007100015800,832,FUN_7100015800,complex_large,VERY_HARD
0x0000007100015b40,656,FUN_7100015b40,complex_large,VERY_HARD
0x0000007100016440,912,FUN_7100016440,complex_large,VERY_HARD
0x0000007100017ae0,3632,FUN_7100017ae0,complex_large,VERY_HARD
0x0000007100018bc0,2352,FUN_7100018bc0,complex_large,VERY_HARD
0x000000710001e9b0,512,FUN_710001e9b0,complex_large,VERY_HARD
0x000000710001f340,12048,FUN_710001f340,complex_large,VERY_HARD
0x0000007100022250,592,FUN_7100022250,complex_large,VERY_HARD
0x0000007100022610,1344,FUN_7100022610,complex_large,VERY_HARD
0x0000007100022dc0,1232,FUN_7100022dc0,complex_large,VERY_HARD
0x0000007100023290,2432,FUN_7100023290,complex_large,VERY_HARD
0x0000007100023c10,608,FUN_7100023c10,complex_large,VERY_HARD
0x0000007100023e70,1136,FUN_7100023e70,complex_large,VERY_HARD
0x00000071000243b0,512,FUN_71000243b0,complex_large,VERY_HARD
0x0000007100024770,928,FUN_7100024770,complex_large,VERY_HARD
0x0000007100024b80,992,FUN_7100024b80,complex_large,VERY_HARD
0x00000071000265b0,1952,FUN_71000265b0,complex_large,VERY_HARD
0x000000710002bca0,1008,FUN_710002bca0,complex_large,VERY_HARD
0x000000710002f560,2272,FUN_710002f560,complex_large,VERY_HARD
0x0000007100037870,624,FUN_7100037870,complex_large,VERY_HARD
0x0000007100039a90,832,FUN_7100039a90,complex_large,VERY_HARD
0x000000710003b0c0,784,FUN_710003b0c0,complex_large,VERY_HARD
0x000000710003c6e0,640,FUN_710003c6e0,complex_large,VERY_HARD
0x000000710003ec20,1104,FUN_710003ec20,complex_large,VERY_HARD
0x00000071000416b0,2368,FUN_71000416b0,complex_large,VERY_HARD
0x0000007100042600,768,FUN_7100042600,complex_large,VERY_HARD
0x0000007100046e60,1168,FUN_7100046e60,complex_large,VERY_HARD
0x00000071000473d0,656,FUN_71000473d0,complex_large,VERY_HARD
0x000000710004a5c0,816,FUN_710004a5c0,complex_large,VERY_HARD
0x000000710004af10,688,FUN_710004af10,complex_large,VERY_HARD
0x000000710004d8a0,1056,FUN_710004d8a0,complex_large,VERY_HARD
0x0000007100052050,640,FUN_7100052050,complex_large,VERY_HARD
0x0000007100052acc,2276,FUN_7100052acc,complex_large,VERY_HARD
0x0000007100057ad0,944,FUN_7100057ad0,complex_large,VERY_HARD
0x0000007100059150,768,FUN_7100059150,complex_large,VERY_HARD
0x000000710005a1c0,608,FUN_710005a1c0,complex_large,VERY_HARD
0x000000710005a7d0,592,FUN_710005a7d0,complex_large,VERY_HARD
0x000000710005b0b0,1456,FUN_710005b0b0,complex_large,VERY_HARD
